,locality
619,Konena Agrahara Ward
620,HAL Airport Ward
621,Hagadur
622,Banashankari
623,Gurappanapalya Ward
624,HSR Layout
625,Others
626,Udaya Nagar
627,Rajarajeshwari Nagar
628,Others
629,Gurappanapalya Ward
630,Hosa Tippasandra
631,Hanumantha Nagar
632,Suddagunte Palya Ward
633,Basavanagudi
634,Brookefields
635,Vidyapeeta ward
636,Basavanagudi
637,HSR Layout
638,Padmanabha Nagar
639,Lal Bahadur Shastri Nagar
640,Devasandra
641,Jogupalya
642,Kaggadasapura
643,Dattatreya Temple Ward
644,Byrasandra Ward
645,Ejipura
646,Others
647,Banashankari
648,Nagarabhavi
649,Sudhama Nagara
650,JP Nagar
651,Basavanagudi
652,HSR Layout
653,Srinagar
654,Hanumantha Nagar
655,HSR Layout
656,Jakkasandra
657,Vasanth Nagar
658,Kaggadasapura
659,Jakkasandra
660,Hosa Tippasandra
661,Puttenahalli
662,Basavanagudi
663,Jogupalya
664,BTM Layout
665,Jnana Bharathi
666,Hanumantha Nagar
667,Ittamadu
668,Yediyur Ward
669,Hagadur
670,Kumaraswamy Layout
671,Rajarajeshwari Nagar
672,Srinivasapura
673,Jeevanbhima Nagar
674,Yediyur Ward
675,Sunkenahalli Ward
676,Jeevanbhima Nagar
677,Mangammanapalya
678,Bhuvaneshwari Nagar
679,Ejipura
680,Hagadur
681,Jakkasandra
682,Yelchenahalli Ward
683,Pattabhiram Nagar
684,Kadugodi
685,Jayanagar
686,Gayatri Nagar
687,Girinagar
688,Chikkalasandra
689,Suddagunte Palya Ward
690,Koramangala
691,Vishveshwara Puram
692,Haralur
693,Maruthi Mandir ward
694,Madiwala
695,Ejipura
696,Hemmigepura
697,Kumaraswamy Layout
698,Narayanapura
699,JP Nagar
700,Subramanyapura
701,Konena Agrahara Ward
702,Kaggadasapura
703,HAL Airport Ward
704,Marathahalli
705,BTM Layout
706,BTM Layout
707,AGS Layout
708,Hagadur
709,Madiwala
710,Basaveshwaranagar
711,Varthur
712,Hosa Tippasandra
713,Ejipura
714,Rajarajeshwari Nagar
715,Ejipura
716,Kodihalli
717,Basavanagudi
718,Kadugodi
719,BTM Layout
720,Madiwala
721,Koramangala
722,Hampi Nagar
723,Jakkasandra
724,Marathahalli
725,Narayanapura
726,Sriramamandir Ward
727,Hagadur
728,Vijayanagar
729,Vignananagar
730,Bhuvaneshwari Nagar
731,JP Nagar
732,Basavanagudi
733,JP Nagar
734,Shankar Matt Ward
735,Madiwala
736,Garudachara Palya
737,BTM Layout
738,Pattabhiram Nagar
739,JP Nagar
740,HAL Airport Ward
741,Rajarajeshwari Nagar
742,Shakambari Nagar
743,Mahadevapura
744,Hampi Nagar
745,JP Nagar
746,Others
747,Koramangala
748,Frazer Town
749,Rajarajeshwari Nagar
750,Hosa Tippasandra
751,Others
752,Ramagondanahalli
753,JP Nagar
754,Ramagondanahalli
755,BTM Layout
756,Marathahalli
757,Vasanth Nagar
758,Jaraganahalli Ward
759,HSR Layout
760,Kaadubeesanahalli
761,Chikkalasandra
762,Ejipura
